Van	0.29855672641431463
P18C	0.27355333754367284
Tommy Gun	0.14810870267676549
Down and Out	0.06726754526418964
Grenade	0.4345255888675293
Punch	1.5871004571760015
Aquarail	0.6152341761441009
M16A4	0.1555162377925467
AUG	0.08775346863903304
Dacia	0.261790333739462
Motorbike (SideCar)	1.5734269227829694
Vector	0.1745799235156837
Buggy	0.6114620512006825
death.PG117_A_01_C	0.8708582638572508
UMP9	0.14462216464691885
S686	0.17363853147904765
death.WeapSawnoff_C	0.2686397327367268
Win94	0.37553774760868047
S12K	0.13671052904580192
Machete	0.8762830903285767
VSS	0.27368169180900426
Bluezone	1.5298924717538955
Crossbow	0.4410430543254834
DP-28	0.1404969393630542
Hit by Car	0.6371430804453423
Mk14	0.18366792999135959
Mini 14	0.193930058845616
M24	0.19849842626800704
M416	0.12745725153571894
R1895	0.3581379456446596
Sickle	0.7676453561679127
Uaz	0.28598175104371837
R45	0.3388760928105523
AWM	0.17917492330502457
Pickup Truck	0.3720186832799245
Motorbike	0.7467954232883588
Crowbar	0.7605845065511382
AKM	0.14740746213332864
Micro UZI	0.17711404735385858
P1911	0.28064843952279944
P92	0.2711213912371746
M249	0.08415089993916502
death.ProjMolotov_C	0.49023711298072453
Drown	0.63810566546728
death.Buff_FireDOT_C	0.7037108496000737
S1897	0.14982734584640853
SCAR-L	0.13020214239311215
death.ProjMolotov_DamageField_C	1.277784977646901
Groza	0.07821764339951308
Kar98k	0.2714560773989381
Falling	0.5304877093863654
RedZone	1.1751649914355438
SKS	0.21593006432460246
Pan	1.0469113558788972
Boat	0.3464717510185739
